sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Engagements","Reach avg.","Engagement rate (reach)","Plays"
"INSTAGRAM","BMW Indonesia","2022-12-03 05:14:20","REELS","REELS","No","No","No","BMW Indonesia presents the Joy of Evolution.   Take a closer look at THE NEW 3 and the THE M4 CSL for a limited time, exclusive at Plaza Senayan Fountain. Open for public until 4 December 2022.   #JoyofEvolution #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #TheTrackLegend #THEM4 #Legacy3volved #THENEW3","https://www.instagram.com/reel/ClsZG8jrKIA/","17971964197824838","474","13204","3,59","12746"
"INSTAGRAM","BMW Indonesia","2022-11-26 04:20:32","REELS","REELS","No","No","No","When you’ve crossed every lines and push every limits, what’s your next move? You start all over again, on a whole new league with the ultimate driving machine.  Ready to witness the track legend? Limited time on display at Plaza Senayan, 2-4 December 2022.  #DrivenByTheBest #BMWIndonesia #SheerDrivingPleasure","https://www.instagram.com/reel/ClaRUC8L9E6/","17988333391649670","385","10633","3,62","10899"
"INSTAGRAM","BMW Indonesia","2022-11-25 10:58:01","REELS","REELS","No","No","No","After seven generations, the legacy now comes with a more expressive and modern visual statement. Equipped with the most advanced version of the iDrive system, The iDrive 8 in curved display.   Witness how the legacy evolved only at Plaza Senayan, 2-4 December 2022.   #Legacy3volved #DrivenByTheBest #BMWIndonesia #SheerDrivingPleasure","https://www.instagram.com/reel/ClYZ6mdJZ1S/","18334773694016833","809","20119","4,02","21755"
"INSTAGRAM","BMW Indonesia","2022-11-24 06:29:37","REELS","REELS","No","No","No","MACAN Gala 2022 was truly a night to remember, and BMW Indonesia is honored to support this event for a good cause.  For more information and to register your interest on THE 8 x Jeff Koons, visit our website at www.bmw.co.id/the8xjeffkoons  #BMWIndonesia #BMWxMACAN #MACANGala2022 #THE8xJeffKoons","https://www.instagram.com/reel/ClVWqZIN-c0/","18242339791122773","316","8528","3,71","8523"
"INSTAGRAM","BMW Indonesia","2022-11-01 07:31:52","REELS","REELS","No","No","No","Who have visited Museum MACAN and see THE 8 x Jeff Koons?  Well, good news! You can now get a chance to win our BMW Lifestyle products for up to 3 lucky winners. All you have to do is upload your best pose with THE 8 x JEFF KOONS to your social media. Here are more details on it:  1. Follow @BMW_Indonesia 2. Post your photo with THE 8 X JEFF KOONS exhibition at Museum MACAN and tag @bmw_indonesia 3. Tell us in the caption what you think about when you saw THE 8 X JEFF KOONS 4. Use the hashtags #THE8xJeffKoons #BMWatMACAN 5. Make sure your Instagram profile is public.  This competition is only until 6 November 2022. The chosen winners will be announced on our Instagram Story on 7 November 2022.  Please read the T&C on our IG highlights titled THE8xJeffKoons.  #THE8xJeffKoons #BMWAtMacan #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CkaPfbhv_Wt/","17886658964677559","228","12299","1,85","14952"
"INSTAGRAM","BMW Indonesia","2022-10-31 11:53:19","REELS","REELS","No","No","No","The online bidding for The 8 x Jeff Koons has been officially launched, and 1 person will have the chance to own the only Rolling Sculpture in Southeast Asia.  Join the online bidding now for a limited period of time through the iBid app. For more info on how to place your bid, check this video or visit the « Bidding Guide » story highlight on our profile.  The online bidding will be available until 6 November 2022, 16.00 WIB.   Download iBid app on Google Playstore or App Store and secure your lot now.  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/reel/CkYIpiVMpmx/","17971954735887553","235","7555","3,11","7623"
"INSTAGRAM","BMW Indonesia","2022-10-31 10:26:59","REELS","REELS","No","No","No","Coming soon to our Youtube channel. Driving Life with BMW Podcast Eps. 4 - The Art of Co-Creation  In this episode we’re going to talk about how collaboration can bring joy and unique experiences that connects people, with art as the medium.  Join the conversation between Agatha Carolina (@agathacarolina) - Co-founder of Bitte Studio, Monstore, and The Lapan  Amalia Wirjono (@amaliawirjono), Head of Development of Museum MACAN  Ramesh Divyanathan (@ramesh_bmwid), President Director of BMW Group Indonesia  Hosted by Paul Palele (@paulpalele) only at BMW Indonesia Youtube Channel!  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CkX9qxyukJu/","17925623039603428","141","10723","1,31","11159"
"INSTAGRAM","BMW Indonesia","2022-10-30 14:32:24","REELS","REELS","No","No","No","POP! POP! POP!   The art of celebrating unique experiences that power and speed bring was unswerving the day we opened the THE 8 x Jeff Koons exhibition at Museum MACAN.  Thank you to our partners and Museum MACAN for hosting. Last but not least, thank you to our esteemed guests for celebrating the most exclusive rolling sculpture throughout BMW history yet.  THE 8 x Jeff Koons will be available for bidding until 6 November 2022. Visit the ‘bidding guide’ highlight on our IG profile for more information.  #THE8xJeffKoons #BMWatMACAN #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CkV0Gk1LPt-/","17969390197797060","314","8733","3,6","9114"
"INSTAGRAM","BMW Indonesia","2022-10-30 03:33:57","REELS","REELS","No","No","No","Coming soon to our Youtube channel. Driving Life with BMW Podcast Eps. 4 - The Art of Co-Creation  In this episode we’re going to talk about how collaboration can bring joy and unique experiences that connects people, with art as the medium.  Join the conversation between Agatha Carolina (@agathacarolina) - Co-founder of Bitte Studio, Monstore, and The Lapan  Amalia Wirjono (@amaliawirjono), Head of Development of Museum MACAN  Ramesh Divyanathan (@ramesh_bmwid), President Director of BMW Group Indonesia  Hosted by Paul Palele (@paulpalele) only at BMW Indonesia Youtube Channel!  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CkUqg_ot2qz/","17988170683618652","6","154","3,9","162"
"INSTAGRAM","BMW Indonesia","2022-10-28 10:35:49","REELS","REELS","No","No","No","The artwork of Jeff Koons is instantly recognizable, and the exquisite design he made for M850i xDrive Gran Coupé definitely made into the list of his most recognizable work.  The essence of power, speed, and pure exhilaration, that's what this car has to offer. A design that represents the power underneath the hood of The 8.  See this Rolling Sculpture for yourself at Museum MACAN, 26 October - 6 November 2022. Make sure you stay tuned to the launch of our online bidding for this car on 30 October 2022.  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #DrivenByTheBest","https://www.instagram.com/reel/CkQRVxHslJu/","17982960193662027","302","8505","3,55","8513"
"INSTAGRAM","BMW Indonesia","2022-10-26 11:48:08","REELS","REELS","No","No","No","Welcome home, Jeff Koons!  After 12 years, Jeff Koons is back to put his creative touch on a special edition of the M850i xDrive Gran Coupé. Raising the art of power to a different degree, this car is what dreams are truly made of.   1 of 99 exclusively designed automobiles has made its way into Indonesia for bidding to be taken home by someone who’s ready to unleash the joy within.  Witness this visceral celebration of life with the expressive and striking THE 8 x Jeff Koons, exclusive at Museum MACAN from 26 October - 6 November 2022.  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #BMWatMACAN","https://www.instagram.com/reel/CkLP-jKJ7RF/","17961649568013436","556","11627","4,78","11212"
"INSTAGRAM","BMW Indonesia","2022-10-25 10:27:46","REELS","REELS","No","No","No","The most elaborately designed BMW Art Car in history. Only 99 automobiles are available around the world — one of them is coming to Indonesia, exclusively at Museum MACAN.  Visit us at the Museum to witness and view THE 8 x JEFF KOONS, and to experience a heightened sense of pleasure! — Sebuah BMW Art Car paling terperinci yang pernah dirancang dalam sejarah. Hanya 99 buah kendaraan saja yang tersedia di seluruh dunia — salah satunya akan tiba di Indonesia, secara eksklusif di Museum MACAN.  Kunjungi kami di Museum untuk menyaksikan dan melihat THE 8 x JEFF KOONS, dan nikmati sensasi dari pengalaman  indrawi yang akan meningkat!   #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #MuseumMACAN #SheerDrivingPleasure","https://www.instagram.com/reel/CkIh_dkrOiB/","18163341796249424","674","30625","2,2","29469"
"INSTAGRAM","BMW Indonesia","2022-10-21 12:03:13","REELS","REELS","No","No","No","This is your chance to see the exclusive edition of THE 8 x Jeff Koons at Museum MACAN! We have 20 tickets you can win, and here’s how you can join:  1. Follow @BMW_Indonesia 2. Tell us which  your favorite part of THE 8 x Jeff Koons vehicle is and why on the comment section below. 3. Like as many our posts as you can. 4. Make sure your Instagram profile is public.  The giveaway is only until 28 October 2022. The 20 winners will be announced on our IG Story on 29 October 2022  #THE8xJeffKoons #BMWAtMacan #BMWIndonesia #DrivenByTheBest #SheeDrivingPleasure","https://www.instagram.com/reel/Cj-ZiTousOG/","18201498421203167","388","12859","3,02","17416"
"INSTAGRAM","BMW Indonesia","2022-10-19 11:59:29","REELS","REELS","No","No","No","THE 8 X Jeff Koons takes sheer driving pleasure to new heights.  Behind the wheels or sitting back, experience the true sense of power and speed in a marvelous feat driven by the pure performance of THE 8 Gran Coupé.  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheeDrivingPleasure","https://www.instagram.com/reel/Cj5PcK9uE7Q/","17969161156768733","265","7260","3,65","7277"
"INSTAGRAM","BMW Indonesia","2022-10-17 12:00:29","REELS","REELS","No","No","No","Inspired by life’s greatest feelings and experiences, Koons’ design transcends with passion.  Every element is meticulously crafted to highlight the very aspect of life that touches your soul.  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/Cj0GVCvpy28/","17931936263375609","251","7634","3,29","7769"
"INSTAGRAM","BMW Indonesia","2022-10-14 10:14:28","REELS","REELS","No","No","No","When icons meet, a dream is brought to life.  Prepare to be enraptured. Watch as the magnificent BMW X Jeff Koons collaboration unfolds into a rolling sculpture that lives itself out on the road.   #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CjsLyCtuTbE/","17961597748999611","272","7815","3,48","7627"
"INSTAGRAM","BMW Indonesia","2022-10-12 11:54:03","REELS","REELS","No","No","No","“My edition of the BMW 8 Series is my dream car. It is sporty and flashy as well as minimalist and conceptual”.   Koons took the essence of the ferocious M850i xDrive Gran Coupè to craft his design, turning the sports car into a visceral piece of art.  One that is museum-worthy, yet made to charge the roads like a true, genuine BMW.  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CjnNe_MuCzo/","17875099847706919","262","7010","3,74","6999"
"INSTAGRAM","BMW Indonesia","2022-10-11 11:26:41","REELS","REELS","No","No","No","World renowned artist Jeff Koons is back with his latest collaboration with BMW to make his dream car.   Only one piece of this limited-edition car will come to S.E.Asia and it is destined only for Indonesia.   Stay tuned to our social media, because there’s more to be revealed.  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/CjkllptMRnt/","18008521477478496","257","5964","4,31","6067"
"INSTAGRAM","BMW Indonesia","2022-10-06 11:12:21","REELS","REELS","No","No","No","Striking power; breathtaking design. The first-ever BMW XM.  #BMWIndonesia #BMWXM #BMWM","https://www.instagram.com/reel/CjXr0IzA1y5/","18006647260478449","259","7699","3,36","6657"
"INSTAGRAM","BMW Indonesia","2022-09-23 11:41:23","REELS","REELS","No","No","No","Time to electrify your drive with the BMW iX and i4. Just plug in and charge ahead.  With charging time that will only take you 31 minutes from 10-80% (DC 150 kW for The iX and DC 200kW for The i4), your daily activities will definitely be more joyful.   Learn more about The iX and The i4 on our website bmw.co.id  #DrivenByTheBest #BMWIndonesia #THEiX #THEi4 #JOYisElectric","https://www.instagram.com/reel/Ci2RAfUuD2x/","17965683370784230","608","15253","3,99","15800"
"INSTAGRAM","BMW Indonesia","2022-09-19 11:56:00","REELS","REELS","No","No","No","A moment of glamour and glitz, set off by the luxurious yet powerful THE 7.   A true BMW authentic mobility experience that is second to none for the VIP members of Mondial. We’re proud to bring THE 7, the icon of dynamic harmony of luxury, sportiness, and power to the 43rd anniversary event of @mondial.  #BMWIndonesia #BMWxMondial #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/reel/Cir-y9XLAKT/","17972469754756549","704","20216","3,48","20272"
"INSTAGRAM","BMW Indonesia","2022-09-10 12:16:26","REELS","REELS","No","No","No","BMW is here at BCA Expo Hybrid, ICE BSD, Tangerang! Get to know to latest range of BMW models and learn more about electric mobility, advanced BMW technology, and iconic designs. Enjoy the limited offer available during the expo!  #DrivenByTheBest #BMWIndonesia #BCAExpoHybrid","https://www.instagram.com/reel/CiU2oDdDgBq/","17993069116492396","884","21134","4,18","21393"
"INSTAGRAM","BMW Indonesia","2022-09-02 11:43:35","REELS","REELS","No","No","No","On Your Mark, Get Set, Go!  Being the sustainable mobility partner together with @maybankmarathon has been an electrifying experience. The joy starts at the starting line with BMW i4 leading the line, also @fitra.eri driving the futuristic all electric SAV- BMW iX, for the very first time in Bali.  We congratulate to all finishers for their electrifying ambition and winning performance. We can’t wait to see you all again next year!  #BMWIndonesia #BornElectric #BMWMaybankMarathon","https://www.instagram.com/reel/CiAMhrSJb9g/","17977469839639839","698","17156","4,07","18160"
"INSTAGRAM","BMW Indonesia","2022-08-31 11:01:53","REELS","REELS","No","No","No","Thank you for your visit, support and enthusiasm at BMW Group Indonesia’s presence in GIIAS 2022.   From the launch of our all-electric BMW iX and i4, new 2 Coupe, Z4 M40i, celebration of M 50 Jahre, collaboration with Ageless Galaxy, we’re delighted to share this amazing and electrifying BMW experience at GIIAS this year.   To complete the festivities at GIIAS, we also launched the BMW Maybank Credit Card. The first exclusive credit card in the premium cars segment, dedicated to enhance the pleasure of BMW owners and fans.   A luxurious collaboration with The Time Place also highlighted our Luxury Class Lounge where we displayed our BMW 7,  7 and 8 Series models.   Last but not least, we also have 3 exciting episodes of our latest podcast: Driving Life with BMW. Inspiring talks about life and definitely about cars with our very special guests. So head over to our Youtube channel (BMW Indonesia) to watch them all.  We can’t wait to meet you all again next year at GIIAS 2023!  #BMWIndonesia #DrivenByTheBest #DriveTheRealStars #BMWatGIIAS2022 #GIIAS2022","https://www.instagram.com/reel/Ch66c4kB6Ev/","17993339452526257","266","8252","3,22","8734"
"INSTAGRAM","BMW Indonesia","2022-08-28 11:13:26","REELS","REELS","No","No","No","What a wonderful weekend we had at Art Jakarta! It has been a pleasure to be reunited with fellow art enthusiasts and to provide a comfortable luxurious experience for the artists as VIP Mobility Partner.  #BMWIndonesia #DrivenByTheBest #The8 #BMWArtJakarta","https://www.instagram.com/reel/ChzRKjCJNks/","17965993618870765","331","12345","2,68","10729"
"INSTAGRAM","BMW Indonesia","2022-08-26 00:58:54","REELS","REELS","No","No","No","We’re so excited to be Sustainable Mobility Partner at @maybankmarathon this 28 August in Bali.   Fun fact, Maybank Marathon is the first Indonesia's marathon race that has been consistently in the Boston Marathon's official race directory since 2012!  Stay tuned to our social media to find out more about this event.  #BMWIndonesia #BornElectric #BMWatMMB2022 #MMB2022 #BMWMaybankMarathon","https://www.instagram.com/reel/ChtA5yHvnDD/","18222504091147027","415","12434","3,34","11522"
"INSTAGRAM","BMW Indonesia","2022-08-21 12:48:45","REELS","REELS","No","No","No","Driving Life with BLW Podcast Episode 3 is here! Watch the whole podcast on our Youtube channel to know how BMW innovates for sustainable luxury and how @avanieco , a company born in Bali, has the vision to take over the world. One cassava bag at a time!  #BMWIndonesia #DrivingLifeWithBMW #BMWatGIIAS2022","https://www.instagram.com/reel/ChhaS1WNItE/","17947243580308432","176","9798","1,8","9192"
"INSTAGRAM","BMW Indonesia","2022-08-21 09:45:34","REELS","REELS","No","No","No","Look at this captivating red, with pure performance and made for open-road freedom. Today’s your last chance to check out our thrilling roadster at GIIAS. Make sure you don’t miss it!  #BMWIndonesia #BMWatGIIAS2022 #DriveTheRealStars #GIIAS2022","https://www.instagram.com/reel/ChhFWYRrZjt/","18140035552273300","1991","30311","6,57","31539"
"INSTAGRAM","BMW Indonesia","2022-08-21 07:08:22","REELS","REELS","No","No","No","The new definition of sheer driving pleasure! The aesthetic design, powerful engines, and sophisticated technology of #The2Coupé will give you full control of your driving experience.  Last day to see this driving machine at GIIAS. See you there!  #BMWIindonesia #BMWatGIIAS2022 #DriveTheRealStars #GIIAS2022","https://www.instagram.com/reel/ChgzbB6pTO5/","17893621508669631","1173","20680","5,67","21756"
"INSTAGRAM","BMW Indonesia","2022-08-20 06:29:06","REELS","REELS","No","No","No","The legend is here at GIIAS. Don't miss out on the special offer we have on BMW 320i Sport, visit us at The BMW Pavilion for more info!  #BMWIndonesia #BMWatGIIAS2022 #DriveTheRealStars","https://www.instagram.com/reel/CheKD5hsbqj/","18217232119194667","620","15411","4,02","13827"
"INSTAGRAM","BMW Indonesia","2022-08-20 05:25:30","REELS","REELS","No","No","No","Meet The BMW iX, the most aerodynamic SAV built by BMW. With electrical range up to 420 km, The iX is definitely crafted for electric mobility.  Terms and conditions apply. Speak to our BMW Business Consultants at BMW Pavilion in GIIAS for more info.  #BMWIndonesia #BornElectric #TheiX #BMWatGIIAS2022","https://www.instagram.com/reel/CheCsL4r0tp/","18188400025175178","672","12858","5,23","13142"
"INSTAGRAM","BMW Indonesia","2022-08-20 05:01:15","REELS","REELS","No","No","No","The legend is here at GIIAS. Don't miss out on the special offer we have on BMW 320i Sport, visit us at The BMW Pavilion for more info!  #BMWIndonesia #BMWatGIIAS2022 #DriveTheRealStars","https://www.instagram.com/reel/CheANMpKVDW/","17855423987779452","0","10","0","16"
"INSTAGRAM","BMW Indonesia","2022-08-20 02:31:14","REELS","REELS","No","No","No","Meet The BMW iX, the most aerodynamic SAV built by BMW. With electrical range up to 420 km, The iX is definitely crafted for electric mobility.  Terms and conditions apply. Speak to our BMW Business Consultants at BMW Pavilion in GIIAS for more info.  #BMWIndonesia #BornElectric #TheiX #BMWatGIIAS2022","https://www.instagram.com/reel/ChdvBXPKhyv/","18189654112202632","5","43","11,63","45"
"INSTAGRAM","BMW Indonesia","2022-08-19 11:04:45","REELS","REELS","No","No","No","Take a closer look on our exclusive BMW x @aglxyco collections! This exclusive collaboration will be available exclusively during GIIAS, so head over to the BMW Pavilion now.  #BMWIndonesia #BMWatGIIAS2022 #BMWxAGLXY","https://www.instagram.com/reel/ChcEvorDltX/","17884076450650175","215","9298","2,31","9126"
"INSTAGRAM","BMW Indonesia","2022-08-19 08:05:25","REELS","REELS","No","No","No","Coming soon.  Who remembers our first Do Things Your Way podcast with @aglxyco ? Surprise! they're back for our 2nd episode of Driving Life with BMW podcast: Passionate Driven Collaboration.  Stay tuned to our social media for this exciting collaboration 💯  #BMWIndonesia #DrivingLifeWithBMW #BMWatGIIAS2022","https://www.instagram.com/reel/ChbweaPsNqK/","17968968244775484","134","8494","1,58","7824"
"INSTAGRAM","BMW Indonesia","2022-08-17 12:10:01","REELS","REELS","No","No","No","Following our Joy is Electric launch on our electric vehicle, #Thei4 and #TheiX, we got another exciting surprise coming for you all.  Head over to our BMW Indonesia YouTube channel to watch the first full episode of our new podcast, Driving Life with BMW.   This premiere episode will feature the most exciting speakers. Featuring actor, producer, and environmental advocate, Nicholas Saputra ( @nicholassaputra ), and exclusive interview with the President Director of BMW Group Indonesia, Ramesh Divyanathan ( @ramesh_bmwid ). Hosted by Paul Palele ( @paulpalele )  #BMWIndonesia #BornElectric #Thei4 #TheiX #DrivingLifeWithBMW","https://www.instagram.com/reel/ChXCx4xux1C/","17932315493271818","165","9988","1,65","10104"
"INSTAGRAM","BMW Indonesia","2022-08-17 09:41:47","REELS","REELS","No","No","No","Difference doesn't mean wrong. It just means more strength, more diversity, more space for collaboration and exciting creativity.   Differences have made Indonesians stronger together, 77 years of collectivity as one strong nation.  Happy Independence Day, Indonesia!  #BMWIndonesia #DirgahayuIndonesia #HUT77RI","https://www.instagram.com/reel/ChWxW_RMOn0/","17903351141635502","171","5972","2,86","5986"
"INSTAGRAM","BMW Indonesia","2022-08-17 08:01:12","REELS","REELS","No","No","No","We’re excited to welcome you to The BMW Group Pavilion. Now which model are you excited to see and experience firsthand? Let us know below! #BMWIndonesia #DriveTheRealStars #BMWAtGIIAS2022","https://www.instagram.com/reel/ChWmai_NIZi/","17959042561934186","90","8633","1,04","8626"
"INSTAGRAM","BMW Indonesia","2022-08-17 03:16:15","REELS","REELS","No","No","No","Pulih lebih cepat, bangkit lebih kuat.  Selamat hari kemerdekaan ke-77 Republik Indonesia! Di usia baru Indonesia ini, mari kita terus menjaga kesatuan dan kebersamaan rakyat Indonesia. Bergerak bersama untuk wujudkan harapan dan mengatasi segala rintangan.  Indonesia kuat, Indonesia bisa!  #BMWIndonesia #DirgahayuIndonesia","https://www.instagram.com/reel/ChWFlxguPhs/","17880703136708180","426","8763","4,86","7828"
"INSTAGRAM","BMW Indonesia","2022-08-16 10:15:24","REELS","REELS","No","No","No","Day 6 of GIIAS! The crowd is still buzzing with excitement and the BMW Pavilion is more electric than ever.  Don't forget to visit The BMW Pavilion at Nusantara Hall, ICE BSD, Tangerang. We're still on until 21 August, so make sure you get your hands on our amazing cars. Including our latest electric vehicles, #Thei4 and #TheiX.  #BMWIndonesia #DriveTheRealStars #BMWatGIIAS2022 #BornElectric","https://www.instagram.com/reel/ChUQ4fCLKyp/","17917941206590132","633","16656","3,8","15410"
"INSTAGRAM","BMW Indonesia","2022-08-14 05:42:26","REELS","REELS","No","No","No","Didn’t get the chance to visit BMW Group Pavilion at @giias_id on day 1? We got you covered! Here's a highlight on the exceptional day we had on the Joy is Electric launch event, showcasing our electric cars, The BMW i4 and iX.  Don't forget, we're still on until 21 August. So don't miss the chance to visit us and drive the real stars!  #BMWIndonesia #BMWatGIIAS2022 #DriveTheRealStars #BornElectric #JoyIsElectric","https://www.instagram.com/reel/ChOn2rirhDO/","17988114040554816","747","15679","4,76","15485"
"INSTAGRAM","BMW Indonesia","2022-08-08 12:36:36","REELS","REELS","No","No","No","3 more days, 1 more step towards the electric-born joy. See you at GIIAS 2022!  #BMWIndonesia #DriveTheRealStars #DrivenByTheBest #BMWiatGIIAS2022 #GIIAS2022 #JOYisElectric #BornElectric","https://www.instagram.com/reel/Cg_6vp5NapL/","18134235493286512","556","17764","3,13","18666"
"INSTAGRAM","BMW Indonesia","2022-08-06 11:49:15","REELS","REELS","No","No","No","This one is for the pleasure seekers, the adrenaline chasers, the drivers who give no compromises to pure driving performance. This sporty and aesthetic driving machine is ready to take your self-expression to the fullest.   Are you ready to call the shots and bring in the action? Stick around, for #The2Coupé is coming to @giias_id! Only at BMW Pavilion on 11-21 Aug, ICE BSD, Tangerang.  #BMWIndonesia #DriveTheRealStars #DrivenByTheBest #BMWatGIIAS2022 #GIIAS2022","https://www.instagram.com/reel/Cg6ruvhtfsR/","18175940047227569","615","16045","3,83","15835"
