sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Reach avg.","Likes","Comments","Saves","Engagement rate (reach)","Video views"
"INSTAGRAM","BMW Indonesia","2022-11-20 09:59:12","CAROUSEL","Timeline","No","No","No","THE 8 x Jeff Koons upholstery is made of the finest Merino leather in striking red and blue. Reflecting the color of superhero from the comic book universe, and of course, our high performance cars, BMW M.  Overall, two words for this exclusive rolling sculpture, powerful and energetic.  Find out more about THE 8 x Jeff Koons and register your interest at www.bmw.co.id/the8xjeffkoons  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/p/ClLbhcPvNrA/","17980536640776053","11945","404","1","9","3,47","0"
"INSTAGRAM","BMW Indonesia","2022-11-18 10:49:56","CAROUSEL","Timeline","No","No","No","BMW Group Indonesia officially launched the BMW SAFE SPACE program at RPTRA Rorotan Indah, as part of the BMW Social Week program that’s initiated by BMW Group Global.  Partnering with Save the Children Indonesia, BMW Group Indonesia donated Rp 350.000.000, enabling them to focus on revitalizing buildings, basic facilities, and developing child protection system in the community through Ruang Publik Terpadu Ramah Anak (RPTRA).   Sustainability is the core of everything that BMW does, from environmental, social, and governance. The BMW SAFE SPACE Program is a proof of BMW Indonesia’s effort to take social sustainability to the next level.  #BMWIndonesia #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/p/ClGXvV5vIDm/","18068787316330850","9328","321","3","3","3,51","0"
"INSTAGRAM","BMW Indonesia","2022-11-17 11:43:02","CAROUSEL","Timeline","No","No","No","BMW Group Indonesia officially launched the BMW SAFE SPACE program at RPTRA Rorotan Indah, as part of the BMW Social Week program that’s initiated by BMW Group Global.  Partnering with Save the Children Indonesia, BMW Group Indonesia donated Rp 350.000.000, enabling them to focus on revitalizing buildings, basic facilities, and developing child protection system in the community through Ruang Publik Terpadu Ramah Anak (RPTRA).   Sustainability is the core of everything that BMW does, from environmental, social, and governance. The BMW SAFE SPACE Program is a proof of BMW Indonesia’s effort to take social sustainability to the next level.  #BMWIndonesia #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/p/ClD5BZSvFzq/","17945278154510943","4848","264","1","1","5,49","0"
"INSTAGRAM","BMW Indonesia","2022-11-04 11:49:45","CAROUSEL","Timeline","No","No","No","The essence of speed and power, the Rolling Sculpture itself, is once again celebrated at the BMW Sunday Soirée last weekend, supported by Prestige.   Line of our fellow art enthusiast guests were pampered with a lane of beautifully curated artistry. A special tour of THE 8 X Jeff Koons, followed with discussions on art & cars through our Art Talk featuring @jessiesetiono, also made the afternoon at Museum MACAN all the more exciting.   2 More days until the last day of THE 8 x Jeff Koons private viewing at Museum MACAN. Only until 6 November 2022 as well that you can place your bid to take this Rolling Sculpture home.  Go to our ""Bidding Guide"" IG highlight or visit our website at www.bmw.co.id/the8xjeffkoons to learn more.  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/p/CkibdHrP1nl/","18189622489233126","12464","442","8","8","3,67","0"
"INSTAGRAM","BMW Indonesia","2022-11-03 05:42:13","CAROUSEL","Timeline","No","No","No","BMW Indonesia is proud to announce that we support Indo Defence Expo & Forum 2022 as the biggest Defence Exhibition in Southeast Asia.   This event will incorporate Indo Aerospace and Indo Marine Expo & Forum, which will be attended by the Minister of Defence and Official Delegations from various countries.   In this momentous event, BMW Indonesia will provide 4 unit of BMW 730Li M Sport for a safe, comfortable, and luxurious experience for the international delegates throughout the event.  Come and witness the energy of the national defence industry at INDO DEFENCE 2022 EXPO & FORUM from 2 - 5 November 2022 at JIExpo Kemayoran, Jakarta.  #BMWIndonesia #DrivenByTheBest #IndoDefence @indo_defence","https://www.instagram.com/p/CkfMmXqPHIE/","17908098833592778","61968","5092","24","161","8,52","0"
"INSTAGRAM","BMW Indonesia","2022-11-03 04:13:07","CAROUSEL","Timeline","No","No","No","BMW Indonesia is proud to announce that we support Indo Defence Expo & Forum 2022 as the biggest Defence Exhibition in Southeast Asia.   This event will incorporate Indo Aerospace and Indo Marine Expo & Forum, which will be attended by the Minister of Defence and Official Delegations from various countries.   In this momentous event, BMW Indonesia will provide 4 unit of BMW 730Li M Sport for a safe, comfortable, and luxurious experience for the international delegates throughout the event.  Come and witness the energy of the national defence industry at INDO DEFENCE 2022 EXPO & FORUM from 2 - 5 November 2022 at JIExpo Kemayoran, Jakarta.  #BMWIndonesia #DrivenByTheBest #IndoDefence @indo_defence","https://www.instagram.com/p/CkfCZxVvYrS/","18057425089353530","14978","1702","13","54","11,81","0"
"INSTAGRAM","BMW Indonesia","2022-10-26 02:17:54","CAROUSEL","Timeline","No","No","No","The opening night of THE 8 x Jeff Koons at Museum MACAN.   Last night, along with our distinguished guests, we celebrated the art that evoke emotions and inspire transcendence of spirit.  The exclusive rolling sculpture will be on display for the public at Museum MACAN from 26 October - 6 November 2022.  To register your interest, visit www.bmw.co.id/the8xjeffkoons  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #BMWatMACAN","https://www.instagram.com/p/CkKO2_rvI4u/","17845955984869883","15655","956","1","36","6,34","0"
"INSTAGRAM","BMW Indonesia","2022-10-25 12:20:04","CAROUSEL","Timeline","No","No","No","The celebration of the visceral aspect of life.   THE 8 x Jeff Koons edition represents one of the most extensive custom factory production processes ever undertaken by BMW. Its unique exterior and interior liveries are authentic artistic creations by Jeff Koons himself.  Visit Museum MACAN from 26 October - 6 November 2022 to see this one of a kind rolling sculpture.  To register your interest, visit www.bmw.co.id/the8xjeffkoons  #THE8xJeffKoons #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #BMWatMACAN","https://www.instagram.com/p/CkIu-a6Pbqu/","17961302102046035","29798","1942","16","79","6,84","0"
"INSTAGRAM","BMW Indonesia","2022-10-05 12:15:06","IMAGE","Timeline","No","No","No","Peak performance.   Its exceptional sportiness and comfort are made for incredible adventures.  📷 @f82.89  Share with us your BMW adventures, and tag us to be featured.  #BMWIndonesia #DrivenByTheBest #BMWM #WeAreM #50JahreBMWM #SheerDrivingPleasure","https://www.instagram.com/p/CjVOgMCN-oY/","18246258388189400","25331","1679","4","76","6,94","-"
"INSTAGRAM","BMW Indonesia","2022-10-04 12:33:44","IMAGE","Timeline","No","No","No","Charge once, go long. It only takes 31 minutes to charge (10-80%) your BMW i4 for you to enjoy a 580 km* long electrifying journey.  For more information visit our website at www.bmw.co.id or simply click the link on our bio.  *Fully charged (100%)  #BMWIndonesia #JOYisElectric #DrivenByTheBest #Thei4","https://www.instagram.com/p/CjSr1v6NFZn/","17959231874056111","29230","886","8","44","3,21","-"
"INSTAGRAM","BMW Indonesia","2022-09-28 12:25:36","CAROUSEL","Timeline","No","No","No","From Indonesia to Europe 50 cars for 50 thrilling years of BMW M.  From old school masterpieces to the latest beasts, all 50 of the iconic BMW M models came together on a thrilling adventure for a joyous celebration. Starting in the home of BMW Welt in Munich, Germany, the fleet charged on a voyage that will last for 8 days through Austria and on to Switzerland before returning back to Germany later, covering almost 2,000km in total. Shoutout to @m_ownersclubid @bmw.eurokars for making this adventure one to remember 🔥  Here’s to BMW M Owner's Club Indonesia Europe Ultimate Drive 2022 🙌🏻 We Are M!   #BMWIndonesia #DrivenByTheBest #WeAreM #M_OwnersClubID #M_OwnerClubIDEuropeUltimateDrive2022","https://www.instagram.com/p/CjDOI5XN-on/","17946764600326623","12278","612","6","17","5,17","0"
"INSTAGRAM","BMW Indonesia","2022-09-27 11:38:11","CAROUSEL","Timeline","No","No","No","Enhance the joy of driving your BMW with BMW Maybank Credit Card. Enjoy variety of benefits, facilities, and services exclusive for BMW customers.  Apply now! For more information, visit this website: www.maybank.co.id/BMW  #BMWIndonesia #BMWMaybankCreditCard","https://www.instagram.com/p/CjAj6yUNdu3/","17987970127583787","11058","276","0","15","2,63","0"
"INSTAGRAM","BMW Indonesia","2022-09-16 12:07:26","CAROUSEL","Timeline","No","No","No","The highest standard that comes with limitless power.  We're officially @mondial‘s 43rd anniversary VIP Mobility Partner. In this momentous occasion, BMW Indonesia will provide six unit of BMW 730Li M Sport for a safe, comfortable, and luxurious experience for the VIP members of Mondial.   The BMW 730Li M Sport will be the perfect finishing touch to the luxurious experience provided in this anniversary event. VIP members of Mondial will get to enjoy extended five-star service on the road, as they are pampered in a comfortable and spacious cabin, equipped with a state-of-the-art rear entertainment system with an individual high-resolution screen.   #BMWxMondial #BMWIndonesia #DrivenByTheBest","https://www.instagram.com/p/CikSh4AvBVU/","17846406962833500","43068","1885","19","35","4,5","0"
"INSTAGRAM","BMW Indonesia","2022-09-14 11:33:59","CAROUSEL","Timeline","No","No","No","Introducing BLISS by BMW, an innovative financial solution, now it's easier than ever to take the wheel of BMW 740Li Opience.  Enjoy less upfront commitment of IDR 66 Million with a flexible leasing solution that allows you a firm control over the terms of your ownership. For a 5 years leasing term, get a monthly lease payment of IDR 66 Million per month.  Additional peace of mind is also afforded to you via an option to purchase your leased vehicle at a predetermined rate.  For more information about the program, contact BMW Contact Center at 1500 269 or send direct messages to 0852 8888 6269 (WhatsApp).  *T&Cs apply.  #DrivenByTheBest #BMWIndonesia #BLISSbyBMW #BMWLeasing","https://www.instagram.com/p/CifFHHvvT63/","17998438036504813","12698","449","3","21","3,72","0"
"INSTAGRAM","BMW Indonesia","2022-09-09 11:00:21","CAROUSEL","Timeline","No","No","No","This is for the ones who seek to make a statement, to do things your way with #TheNew218iGranCoupéSport.  The New BMW 218i Gran Coupé Sport is equipped with outstanding interior features such as BMW Parking Assistant and Sport seats in Sensatec upholstery which surely give you top comfort during your daily drive. Completed with frameless doors and sporty LED lights that emphasize its bold statement.  Enjoy a special offer of low installment for the purchase, starting from Rp 9,7 Mio per month.   For more information, contact your nearest BMW Authorized Dealers or visit our website at bmw.co.id.  #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/p/CiSJSCPtwWH/","17920054037553993","10903","352","5","13","3,39","0"
"INSTAGRAM","BMW Indonesia","2022-09-08 12:49:44","IMAGE","Timeline","No","No","No","Did you know, one of the coolest things about The iX is the intelligent kidney grille.  In order to protect the front camera and all the sensors, BMW has covered the grille with a special polyurethane coating that can self-heal and repair minor scratches. Within 24 hours at room temperature or through a 5 minute supply of warm air.  #THEiX #BMWIndonesia #JOYisElectric #DrivenByTheBest","https://www.instagram.com/p/CiPxAlnvQac/","17918349941604127","12215","367","2","9","3,09","-"
"INSTAGRAM","BMW Indonesia","2022-09-05 11:48:07","IMAGE","Timeline","No","No","No","BMW Indonesia and @garuda.indonesia have launched The Prestige Service with the BMW 730Li M Sport, which provides Business Class and Garuda Miles Platinum’s passengers with top-class luxury transportation in perfect comfort. The 7 Series is the definition of a luxury sedan lifestyle, with its legendary performance, unmatched comfort, sumptuous interior, and sophisticated exterior styling.   Enjoy every moment of luxurious driving with The 7 Series for your unforgettable trip through this strategic collaboration.   #BMWIndonesia #DrivenByTheBest #ThePrestigeService #BMWxGarudaIndonesia","https://www.instagram.com/p/CiH7kv-r3B7/","17854155299815155","16676","534","2","11","3,28","-"
"INSTAGRAM","BMW Indonesia","2022-08-28 10:10:59","CAROUSEL","Timeline","No","No","No","That was such an electrifying race. We’re proud to be a part of @maybankmarathon again this year; being the Sustainable Mobility Partner, and having The #BMWiX as the fully electric lead car with @fitra.eri on the wheels.  Of course, there are also other fan-favorite series #BMWX7, #BMW5Series, #BMWX1, and #BMW3Series as the official shuttle cars for the committee and marshals.  #BMWIndonesia #BMWMaybankMarathon #BornElectric #MMB2022","https://www.instagram.com/p/ChzKGQmPG95/","17944827581239569","18799","979","5","18","5,33","0"
"INSTAGRAM","BMW Indonesia","2022-08-28 02:22:36","CAROUSEL","Timeline","No","No","No","Want to see the epitome of unrestrained performance and perfect precision?   The New 8 Coupé is a statement of sportiness and luxury. What’s more, its impressive details and touch of class is complemented with advanced innovation. Making it beyond iconic.  See The New 8 Coupé up close when you visit our booth at Art Jakarta, only until 28 August 2022!  #BMWIndonesia #DrivenByTheBest #The8 #BMWArtJakarta","https://www.instagram.com/p/ChyUftXvsnW/","17957059339960103","20581","1250","4","49","6,33","0"
"INSTAGRAM","BMW Indonesia","2022-08-27 05:27:14","IMAGE","Timeline","No","No","No","The clock is ticking, and we are getting closer to the race day. The BMW i4 is ready to be the lead car for the Maybank Marathon, and it's going to be electric.  Stay tuned to our social media to find out all the electrifying joy and excitement happening in Bali tomorrow!  #BMWIndonesia #BMWMaybankMarathon #BornElectric #MMB2022","https://www.instagram.com/p/ChwE1L-PrIn/","18025503571397781","11617","396","4","5","3,49","-"
"INSTAGRAM","BMW Indonesia","2022-08-26 13:04:43","CAROUSEL","Timeline","No","No","No","What happens when a world renowned artist, Jeff Koons, meets The BMW 8? The most exclusive collaboration, resulting in the most elaborately designed vehicle in all BMW history.   Meet THE 8 X JEFF KOONS.  This beautiful automobile is the very definition of a dream come true. Produced exactly 99 cars around the world, no more, no less, so it can flourish on the road as a genuine BMW. The good news? Amongst the 99 cars, 1 unit will be available for Indonesian fans, so don’t miss the chance for it to be you!   To know more about this collaboration and to register your interest, you can scan the barcode on the slide. You can also visit our booth at Art Jakarta to find out more.  #BMWIndonesia #DrivenByTheBest #The8xJeffKoons #BMWatArtJakarta","https://www.instagram.com/p/ChuUZC9veBC/","17999127961455076","10776","373","2","14","3,61","0"
"INSTAGRAM","BMW Indonesia","2022-08-24 13:07:26","IMAGE","Timeline","No","No","No","BMW The 8 Coupé is coming to ArtJakarta and we have 5 tickets for you to win! Follow these steps to join:  1. Follow @BMW_Indonesia on Instagram 2. Like this post 3. Tell us on the comment, which artist you’re most excited to see at ArtJakarta and WHY.  4. Make sure your instagram profile not locked.  The giveaway is only until 26 August 2022 17:00. The 5 winners will be announced on our IG Story on 26 August 2022  #BMWIndonesia #BMWArtJakarta #ArtJakarta #ArtJakarta2022","https://www.instagram.com/p/ChpLG0ItF5G/","18301834588069672","15109","626","11","18","4,34","-"
"INSTAGRAM","BMW Indonesia","2022-08-24 12:06:11","CAROUSEL","Timeline","No","No","No","We're officially @artjakarta's VIP Mobility Partner. BMW Indonesia will provide The 7 Series for a safe, comfortable, and luxurious experience unique to our Sheer Driving Pleasure for all the artists coming.   To top it off, BMW The New 8 will also be present as an introduction to the upcoming launch of a special edition THE 8 X JEFF KOONS available this end of the year.   Come visit our booth at Art Jakarta, JCC Senayan, 26- 28 August 2022. We can't wait to meet you, see you there!  #BMWIndonesia #DrivenByTheBest #ArtJakarta","https://www.instagram.com/p/ChpEGhxvkji/","17961100087789986","21957","1359","7","32","6,37","0"
"INSTAGRAM","BMW Indonesia","2022-08-22 01:58:15","IMAGE","Timeline","No","No","No","Thank you to our BMW loyal fans and customers who has visited The BMW Pavilion at GIIAS 2022! It is such a great honor to be chosen as The Favorite Booth in the premium car category, and we will continue to give the best BMW experience at GIIAS in years to come.  It has been a thrilling and utterly electrifying 11 days at GIIAS and we can’t wait to see you again next year!  #BMWIndonesia #BMWatGIIAS2022 #GIIAS2022 #DrivenByTheBest #DriveTheRealStars","https://www.instagram.com/p/Chi08MsvSol/","17951853773101576","22788","868","2","7","3,85","-"
"INSTAGRAM","BMW Indonesia","2022-08-21 10:38:02","CAROUSEL","Timeline","No","No","No","Tahukah anda keuntungan apa saja yang akan Anda dapatkan ketika membeli mobil BMW?   Anda bisa mendapatkan berbagai keuntungan mulai dari garansi selama 3 tahun, BMW Service Inclusive selama 5 tahun yang meliputi pemeliharaan dan servis kendaraan (termasuk oli, tenaga kerja, dan semua Suku Cadang BMW Asli yang diperlukan), hingga 2 tahun perlindungan ban mobil.  Untuk informasi selengkapnya kunjungi website kami di www.bmw.co.id atau hubungi BMW Authorized Dealer terdekat anda untuk bantuan lebih lanjut.  #BMWIndonesia #DrivenByTheBest #BMWatGIIAS","https://www.instagram.com/p/ChhLoOyPlPw/","17938413686174601","8851","248","2","13","2,97","0"
"INSTAGRAM","BMW Indonesia","2022-08-20 10:18:13","CAROUSEL","Timeline","No","No","No","Exciting news! Introducing BLISS (BMW Leasing Indonesia), now your dream car is closer than you think. With BLISS, you can drive home your BMW car without having to commit to a high down payment, and its administration is completely hassle free.   Learn more about BLISS by visiting our BMW Pavilion at GIIAS and get special offer of installment starts from 16 Mio* only until 21 August 2022!  *T&C Apply.  #BMWIndonesia #BMWatGIIAS2022 #GIIAS2022","https://www.instagram.com/p/Chekj9it27y/","18316375420038054","8560","261","4","6","3,17","0"
"INSTAGRAM","BMW Indonesia","2022-08-20 07:01:29","CAROUSEL","Timeline","No","No","No","Open, flat, and designed for performance, The mesh design in BMW kidney grille contributes to the dynamic appearance. Completed with the Vertically aligned LED Headlights which is completely designed for open-road freedom.  Delivering top athlete pure driving pleasure, its low position and systematic weight optimization topped with M Sport Package, including M TwinPower Turbo inline 6-cylinder petrol engine, should achieve impressive performance value.  Get your hands on this The Z4 M40i at BMW Pavilion GIIAS, only until this 21 August 2022.   #BMWIndonesia #DrivenByTheBest  #DriveTheRealStars #BMWatGIIAS2022 #GIIAS2022","https://www.instagram.com/p/CheODA1NAok/","17848074386821723","23469","1506","17","108","6,95","0"
